#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
1786,00.43.05,209,4,142,0.666666667,0.384976526,142,0,1,6,3,0,3,17,1,0,0,0,0,1,0,25,1,0,2,82,
1849,00.45.09,58,8,44,0.666666667,0.424242424,44,0,0,1,3,1,2,5,0,0,0,1,0,0,0,3,0,0,0,28,
1868,00.45.28,209,1,140,0.666666667,0.29047619,139,1,0,18,16,0,1,35,0,0,1,0,0,0,0,6,0,0,1,61,
1879,00.45.39,55,8,42,0.666666667,0.317460317,42,0,0,12,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,
2119,00.52.11,441,6,298,0.666666667,0.378076063,295,3,1,21,59,6,5,13,1,0,2,0,1,0,1,9,0,1,6,169,
2129,00.52.21,203,7,140,0.666666667,0.485714286,139,1,0,13,11,0,2,9,0,0,0,0,0,1,0,1,0,0,0,102,
2603,00.65.10,814,2,544,0.666666667,0.3125,526,18,2,78,101,7,12,17,0,1,1,0,0,0,0,44,1,0,7,255,
234,00.03.72,3339,16,2236,0.666467958,0.22533532,2224,12,0,438,147,3,45,297,21,1,12,3,3,4,3,325,0,6,160,756,DIRTY
77,00.01.19,1375,16,927,0.666427031,0.260963336,924,3,0,131,70,1,27,143,15,0,6,0,4,2,0,110,1,2,49,363,
2183,00.54.27,941,6,631,0.666314678,0.410770855,623,8,1,28,46,3,4,115,4,0,3,3,1,1,0,19,0,1,5,389,
464,00.08.19,1615,11,1083,0.666051661,0.298892989,1079,4,1,162,63,2,31,114,14,0,4,0,4,1,0,137,0,3,57,486,
1403,00.30.10,992,5,664,0.665997994,0.444332999,653,11,0,35,41,3,10,56,13,0,2,0,0,1,0,35,0,0,14,443,
2957,00.81.55,1401,8,938,0.665720369,0.363378282,890,48,0,43,196,8,17,36,2,1,3,3,3,1,0,52,0,0,13,512,
2033,00.50.22,1020,3,681,0.66568915,0.53372434,671,10,1,17,15,0,3,35,1,0,3,0,0,0,0,42,0,1,7,546,
2552,00.63.15,659,8,444,0.665667166,0.404797601,437,7,3,29,45,3,11,12,42,0,1,1,2,0,0,16,0,0,2,270,
141,00.02.49,1287,14,866,0.665641814,0.263643351,865,1,2,115,49,1,26,129,8,1,3,1,2,1,0,119,0,2,63,343,
167,00.03.05,1684,11,1128,0.665486726,0.248967552,1111,17,1,181,111,6,24,169,10,0,3,0,3,2,2,112,0,3,62,422,
728,00.13.01,1594,11,1068,0.665420561,0.348909657,1048,20,3,97,168,3,22,106,13,1,6,2,0,2,1,41,1,3,19,560,
2463,00.60.36,519,10,352,0.665406427,0.459357278,345,7,0,23,23,3,10,25,2,0,1,1,1,0,0,11,0,0,2,243,
2008,00.49.27,1297,9,869,0.665390505,0.37136294,855,14,0,117,106,4,18,52,5,3,8,0,1,0,0,41,0,0,15,485,
528,00.09.43,1274,14,857,0.665372671,0.311335404,848,9,1,113,37,3,24,89,18,1,8,4,0,0,1,93,0,2,53,401,
1625,00.37.08,2192,28,1477,0.665315315,0.345495495,1465,12,1,215,168,11,21,110,7,1,12,0,1,1,1,105,2,4,38,767,
169,00.03.07,1465,14,984,0.665314402,0.253549696,978,6,1,160,84,4,25,138,8,0,9,0,0,0,1,110,0,3,60,375,
2254,00.56.37,483,4,324,0.665297741,0.464065708,319,5,0,27,23,0,6,14,1,0,0,0,0,0,0,13,0,1,8,226,
1312,00.27.18,1233,3,822,0.665048544,0.351132686,810,12,1,86,100,3,27,67,8,0,4,0,0,2,1,60,0,2,15,434,
905,00.19.06,181,10,127,0.664921466,0.387434555,125,2,0,19,17,0,1,4,2,0,0,0,0,0,0,6,0,1,1,74,
2441,00.60.14,879,1,585,0.664772727,0.488636364,584,1,0,41,35,2,10,31,2,0,5,0,1,0,0,13,2,1,11,430,
1329,00.27.35,1397,5,932,0.664764622,0.418687589,919,13,0,49,64,3,40,71,7,5,5,0,3,0,0,69,0,1,15,587,
