#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
1888,00.46.07,378,9,951,2.457364341,0.470284238,245,706,1,21,8,0,0,23,1,0,2,0,0,0,0,5,0,0,2,182,
2368,00.59.13,732,13,1527,2.04966443,0.959731544,1508,19,1,214,149,3,42,160,19,1,10,1,3,1,1,126,0,2,60,715,DIRTY
1087,00.22.54,872,6,999,1.137813212,0.322323462,383,616,0,34,24,4,2,10,2,0,0,0,0,0,0,23,0,1,0,283,
2279,00.57.13,262,6,285,1.063432836,0.410447761,181,104,1,9,24,1,5,18,0,0,2,0,1,0,0,8,0,0,2,110,
1967,00.48.23,487,8,518,1.046464646,0.434343434,335,183,1,14,40,4,10,33,1,0,3,1,1,0,0,7,0,0,5,215,
1008,00.21.28,711,13,724,1,0.389502762,425,299,0,16,34,0,11,41,4,1,0,0,1,0,0,26,0,1,8,282,
2563,00.64.06,527,11,538,1,0.286245353,310,228,0,58,38,1,6,18,0,1,1,0,2,0,0,26,1,0,4,154,
1758,00.41.12,691,3,691,0.995677233,0.436599424,369,322,0,6,36,0,1,7,0,1,2,0,0,0,6,4,0,1,2,303,
160,00.02.68,1456,13,1461,0.994554118,0.259360109,984,477,0,157,66,1,28,136,13,1,9,3,1,1,1,102,0,1,83,381,
1494,00.32.69,1157,8,1157,0.993133047,0.321888412,650,507,1,49,62,2,25,63,1,0,4,2,0,0,1,55,0,1,9,375,
642,00.10.76,0,413,407,0.985472155,0.801452785,403,4,0,9,20,2,4,12,1,1,0,0,1,1,1,19,0,0,1,331,
1371,00.28.37,230,10,230,0.958333333,0.279166667,121,109,0,17,15,0,2,9,0,0,0,0,0,0,0,10,0,0,1,67,
1761,00.41.15,56,38,89,0.946808511,0.712765957,87,2,0,2,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,67,
978,00.20.59,0,141,132,0.936170213,0.787234043,132,0,0,3,5,0,0,5,1,0,1,0,0,0,0,5,0,0,1,111,
1734,00.40.50,270,4,255,0.930656934,0.817518248,254,1,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,224,
815,00.16.12,270,4,249,0.908759124,0.748175182,249,0,0,0,12,0,26,6,0,0,0,0,0,0,0,0,0,0,0,205,
1732,00.40.48,149,0,135,0.906040268,0.825503356,135,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,
1656,00.38.11,254,1,231,0.905882353,0.68627451,212,19,0,1,13,0,0,8,0,0,0,0,0,0,15,0,0,0,0,175,DIRTY
819,00.16.16,418,5,378,0.893617021,0.697399527,318,60,1,0,6,0,8,5,0,0,0,0,0,1,0,1,0,0,1,295,
1101,00.22.68,189,14,180,0.886699507,0.827586207,178,2,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,168,
1916,00.47.12,57,9,58,0.878787879,0.742424242,54,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,
2609,00.65.16,360,2,316,0.872928177,0.76519337,315,1,0,12,14,0,0,5,1,0,0,0,0,1,1,4,0,0,0,277,
2978,00.82.19,96,6,89,0.87254902,0.539215686,83,6,0,7,13,0,0,6,0,0,1,0,0,0,0,0,1,0,0,55,
1102,00.22.70,862,6,753,0.867511521,0.627880184,741,12,0,8,104,0,0,81,0,0,0,0,0,1,0,1,0,0,1,545,
2214,00.55.24,93,2,82,0.863157895,0.578947368,82,0,0,10,4,0,2,2,0,0,0,0,0,0,0,6,0,0,3,55,
3003,00.82.44,159,4,140,0.858895706,0.680981595,139,1,0,2,17,0,0,4,0,0,0,0,0,0,0,4,0,0,1,111,
1939,00.47.35,77,4,69,0.851851852,0.814814815,68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,
998,00.21.18,560,7,479,0.844797178,0.638447972,433,46,1,7,13,0,0,14,2,0,2,1,1,1,0,23,1,0,5,362,
51,00.87.57,0,125,105,0.84,0.176,104,1,0,30,11,1,0,16,0,0,0,0,0,0,0,17,0,0,7,22,
1183,00.24.18,127,8,113,0.837037037,0.614814815,112,1,0,1,13,0,2,4,0,0,2,0,0,0,0,3,0,1,3,83,
1671,00.39.10,302,4,256,0.836601307,0.490196078,254,2,1,23,38,2,0,23,2,0,1,0,0,0,2,7,0,2,3,150,
1881,00.45.41,46,2,40,0.833333333,0.5625,39,1,0,0,4,0,2,3,0,0,0,0,0,1,0,0,0,0,2,27,
1730,00.40.46,300,3,251,0.828382838,0.706270627,247,4,0,14,4,1,0,12,0,0,0,0,1,0,0,0,0,1,0,214,
1197,00.24.32,681,8,567,0.822931785,0.701015965,562,5,0,4,36,1,6,15,1,0,1,1,0,0,1,8,0,1,4,483,
1701,00.40.17,268,2,222,0.822222222,0.72962963,221,1,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,
1788,00.43.07,35,10,37,0.822222222,0.688888889,37,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,
1192,00.24.27,29,15,36,0.818181818,0.681818182,36,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30,
1666,00.39.05,70,7,63,0.818181818,0.61038961,63,0,0,3,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,47,
1094,00.22.61,619,8,512,0.816586922,0.751196172,503,9,0,21,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,471,
2893,00.80.20,276,2,227,0.816546763,0.607913669,227,0,0,9,27,0,0,12,0,0,0,0,0,0,0,10,0,0,0,169,
2891,00.80.18,187,7,158,0.81443299,0.608247423,157,1,0,5,21,0,0,5,0,0,0,0,0,0,7,0,0,0,1,118,
665,00.11.22,329,5,272,0.814371257,0.664670659,268,4,0,5,11,0,6,9,2,0,1,0,1,0,0,8,0,0,3,222,
1947,00.48.03,565,10,467,0.812173913,0.612173913,459,8,0,22,23,1,8,30,2,0,2,0,0,0,1,15,0,0,3,352,
1676,00.39.15,355,1,288,0.808988764,0.514044944,285,3,0,22,52,1,3,4,1,0,0,1,0,0,1,13,0,1,3,183,
1861,00.45.21,36,11,38,0.808510638,0.468085106,34,4,0,3,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22,
1766,00.41.20,223,17,194,0.808333333,0.729166667,192,2,1,3,8,0,0,1,0,0,0,0,0,2,2,0,0,0,0,175,
917,00.19.18,236,9,198,0.808163265,0.330612245,138,60,1,14,8,1,22,8,1,0,0,0,1,0,0,0,0,0,1,81,
2895,00.80.22,443,0,358,0.808126411,0.492099323,343,15,0,14,79,1,1,13,0,0,1,1,1,1,0,12,0,0,1,218,
1704,00.40.20,96,3,80,0.808080808,0.636363636,80,0,1,9,1,0,1,2,0,0,0,0,0,0,0,3,0,0,0,63,
1956,00.48.12,328,4,268,0.807228916,0.584337349,266,2,0,8,15,1,2,15,0,0,4,0,0,2,0,22,0,1,2,194,
2025,00.50.14,392,7,322,0.807017544,0.719298246,320,2,0,1,5,0,5,5,1,0,0,0,0,0,0,11,1,1,3,287,
663,00.11.20,1201,9,975,0.805785124,0.407438017,764,211,2,36,65,4,26,69,4,0,4,0,3,0,0,49,0,4,5,493,
1674,00.39.13,119,9,103,0.8046875,0.5,102,1,0,7,15,0,0,9,0,0,0,0,0,0,0,6,0,0,1,64,
2040,00.50.29,812,10,660,0.802919708,0.750608273,647,13,0,7,1,0,1,3,1,0,0,0,0,0,0,14,0,1,2,617,
662,00.11.19,698,3,562,0.80171184,0.629101284,555,7,0,15,28,2,6,43,3,0,1,1,0,0,0,10,1,1,3,441,
2876,00.80.03,299,7,245,0.800653595,0.54248366,238,7,0,8,28,1,0,24,0,0,0,0,0,0,0,9,0,1,1,166,
977,00.20.58,0,269,215,0.799256506,0.550185874,215,0,0,22,11,0,5,17,1,0,0,0,0,0,0,6,0,0,5,148,
832,00.16.29,281,6,229,0.797909408,0.571428571,227,2,0,6,30,1,5,16,2,1,0,0,0,0,0,1,0,0,1,164,
2038,00.50.27,81,8,71,0.797752809,0.730337079,71,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,65,
2020,00.50.09,154,9,130,0.797546012,0.705521472,128,2,0,2,3,0,0,2,0,0,0,0,0,0,0,4,1,0,1,115,
1280,00.26.26,308,6,250,0.796178344,0.684713376,246,4,0,5,5,1,1,11,0,0,0,0,0,0,0,6,0,0,2,215,
1980,00.48.36,179,2,144,0.79558011,0.508287293,143,1,0,5,9,0,2,27,0,0,1,0,0,0,0,6,0,0,1,92,
2894,00.80.21,484,2,386,0.794238683,0.553497942,374,12,1,7,24,4,8,33,1,0,1,0,1,1,0,19,0,2,3,269,
1510,00.32.85,323,10,264,0.792792793,0.399399399,253,11,0,28,33,0,10,15,2,1,0,0,1,0,0,26,0,1,3,133,
2884,00.80.11,403,2,320,0.790123457,0.471604938,309,11,1,14,45,1,3,16,1,0,1,1,0,0,0,34,0,0,1,191,
912,00.19.13,293,2,233,0.789830508,0.66440678,228,5,0,4,7,0,7,7,1,0,0,0,0,0,0,6,0,0,0,196,
3031,00.83.24,726,49,612,0.789677419,0.357419355,598,14,0,46,178,2,7,33,1,1,0,2,1,0,0,33,0,1,16,277,
1855,00.45.15,92,3,75,0.789473684,0.557894737,74,1,0,2,1,0,0,14,0,0,0,0,0,0,0,3,0,0,1,53,
1830,00.44.26,200,3,160,0.78817734,0.487684729,160,0,0,16,10,1,14,7,0,0,1,0,0,0,0,8,0,2,2,99,
1679,00.39.18,389,2,308,0.787723785,0.603580563,304,4,0,12,20,2,6,17,0,0,0,0,0,0,0,8,0,0,3,236,
2292,00.57.26,196,6,159,0.787128713,0.430693069,158,1,0,15,38,0,0,12,0,0,0,0,0,0,0,4,0,0,2,87,
1981,00.48.37,338,3,268,0.785923754,0.448680352,263,5,0,20,28,3,6,28,1,0,0,0,0,0,1,21,0,0,2,153,
1682,00.39.21,171,5,138,0.784090909,0.4375,138,0,1,10,37,0,1,8,1,0,0,0,1,0,0,2,0,0,0,77,
1859,00.45.19,71,7,61,0.782051282,0.435897436,60,1,0,5,7,1,0,8,0,0,1,0,0,0,0,3,0,0,1,34,
2874,00.80.01,1332,3,1043,0.781273408,0.477153558,1008,35,3,51,146,3,7,81,2,2,2,1,1,1,2,50,0,3,16,637,
1824,00.44.20,249,34,221,0.780918728,0.565371025,220,1,0,7,9,0,7,14,2,0,2,0,0,0,0,15,0,0,4,160,
1813,00.44.09,146,0,114,0.780821918,0.582191781,114,0,1,5,5,1,2,12,0,0,0,0,0,0,0,1,0,1,1,85,
1989,00.49.08,413,2,324,0.780722892,0.472289157,317,7,0,16,65,3,2,15,2,1,2,0,0,1,0,12,0,0,2,196,
2885,00.80.12,442,2,346,0.779279279,0.5,337,9,0,8,76,2,2,9,0,1,0,1,0,1,0,15,0,0,0,222,
1677,00.39.16,446,2,349,0.779017857,0.502232143,346,3,0,20,57,2,5,24,1,0,1,0,0,0,0,7,0,0,4,225,
2877,00.80.04,502,3,393,0.778217822,0.530693069,384,9,0,21,43,3,7,17,2,1,1,0,0,0,0,19,0,0,2,268,
725,00.12.42,1137,3,887,0.778070175,0.560526316,882,5,3,53,49,1,22,45,3,0,9,0,2,0,1,48,0,2,5,639,
1670,00.39.09,455,0,354,0.778021978,0.437362637,352,2,0,22,77,0,3,19,0,3,3,0,1,0,0,21,0,0,4,199,
2883,00.80.10,369,0,287,0.777777778,0.506775068,277,10,1,10,45,1,5,16,0,1,0,2,1,0,0,7,0,0,1,187,
1952,00.48.08,1059,3,825,0.776836158,0.551789077,810,15,0,31,89,2,15,45,3,0,2,0,2,1,0,26,0,1,7,586,
3093,00.84.45,261,3,205,0.776515152,0.59469697,203,2,0,8,22,1,0,5,0,0,0,0,0,0,0,7,0,1,2,157,
1279,00.26.25,77,8,66,0.776470588,0.741176471,66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,
2872,00.79.89,2376,15,1853,0.774989544,0.555416144,1788,65,4,73,208,8,10,39,4,2,6,1,2,2,7,82,1,3,8,1328,
1811,00.44.07,184,6,147,0.773684211,0.468421053,145,2,0,11,4,2,12,17,1,0,1,0,0,1,0,7,0,0,0,89,
2890,00.80.17,859,1,665,0.773255814,0.505813953,654,11,0,33,85,2,2,55,0,0,1,1,0,1,0,34,0,0,5,435,
759,00.14.07,430,2,334,0.773148148,0.601851852,334,0,0,10,30,0,2,22,2,1,0,0,0,0,0,4,0,0,3,260,
743,00.13.16,190,30,170,0.772727273,0.472727273,170,0,0,16,37,0,4,5,0,0,0,0,0,0,0,4,0,0,0,104,
2873,00.79.90,0,66,51,0.772727273,0.621212121,50,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,41,
2875,00.80.02,854,8,666,0.77262181,0.49187935,642,24,3,42,86,3,8,28,0,0,0,0,2,1,1,37,1,2,4,424,
2896,00.80.23,221,3,173,0.772321429,0.522321429,171,2,0,6,31,1,0,6,0,0,2,0,0,0,0,6,0,1,1,117,
2989,00.82.30,193,0,149,0.772020725,0.616580311,143,6,0,6,13,0,1,2,0,0,0,0,0,0,0,2,0,0,0,119,
213,00.03.51,1501,15,1170,0.77176781,0.290897098,1163,7,1,179,97,4,34,182,7,0,5,0,1,2,2,130,0,3,75,441,
1683,00.39.22,252,2,196,0.771653543,0.472440945,195,1,1,18,28,0,0,19,0,0,0,0,0,0,0,5,0,0,4,120,
667,00.11.24,1166,7,904,0.770673487,0.559249787,895,9,0,27,51,0,28,55,7,0,2,2,4,1,0,36,1,3,22,656,
2645,00.66.17,420,5,327,0.769411765,0.564705882,316,11,0,30,25,0,2,8,0,0,0,1,0,1,1,7,0,0,1,240,
175,00.03.13,1213,13,943,0.769168026,0.330342577,937,6,0,126,45,2,30,137,8,0,8,0,2,1,0,118,0,2,53,405,
2881,00.80.08,298,5,233,0.768976898,0.448844884,229,4,0,12,48,0,3,7,0,1,3,0,1,0,1,16,0,0,1,136,
669,00.11.26,377,7,295,0.768229167,0.5546875,293,2,0,12,25,1,9,20,1,0,1,0,0,0,0,10,0,0,1,213,
726,00.12.43,454,5,352,0.766884532,0.538126362,346,6,0,25,19,1,7,7,1,0,1,0,2,1,1,26,0,0,8,247,
2901,00.80.28,1233,1,945,0.765802269,0.52917342,904,41,0,16,129,3,5,28,2,1,2,3,0,0,0,57,1,1,3,653,
1719,00.40.35,125,3,98,0.765625,0.734375,97,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,
1787,00.43.06,111,8,91,0.764705882,0.487394958,89,2,0,23,1,0,1,4,0,0,0,0,0,0,0,2,0,0,0,58,
1808,00.44.04,491,2,377,0.764705882,0.537525355,374,3,0,29,13,1,12,28,0,0,3,0,0,0,0,14,1,2,6,265,
1555,00.33.35,132,8,107,0.764285714,0.4,107,0,0,8,25,1,0,8,0,0,0,0,0,0,0,8,0,0,1,56,
1663,00.39.02,270,1,207,0.763837638,0.579335793,204,3,0,11,19,1,0,6,1,0,0,0,0,0,2,4,0,0,3,157,
2878,00.80.05,266,5,207,0.763837638,0.535055351,200,7,0,2,24,0,0,16,0,0,0,0,1,0,0,11,0,0,1,145,
1978,00.48.34,183,3,142,0.76344086,0.489247312,140,2,0,10,10,0,9,6,0,0,0,0,0,0,0,8,0,0,6,91,
93,00.02.01,1485,17,1146,0.76298269,0.288948069,1115,31,1,166,81,1,18,198,13,1,5,2,1,1,0,126,0,1,66,434,
1093,00.22.60,437,6,338,0.762979684,0.659142212,333,5,0,15,10,0,2,8,0,0,0,0,0,0,0,6,0,0,0,292,
1833,00.44.29,261,4,202,0.762264151,0.411320755,199,3,0,27,16,1,2,24,0,0,1,0,0,0,0,15,0,1,3,109,
3100,00.84.52,265,0,202,0.762264151,0.588679245,202,0,0,3,33,0,0,7,0,0,0,0,0,0,0,3,0,0,0,156,
2980,00.82.21,206,0,157,0.762135922,0.504854369,157,0,0,0,21,3,0,12,0,1,1,0,0,0,0,12,0,0,3,104,
1680,00.39.19,289,5,224,0.761904762,0.571428571,221,3,0,8,14,1,2,16,2,0,0,0,1,0,0,5,1,0,3,168,
1648,00.38.03,1418,2,1081,0.761267606,0.402112676,1068,13,3,124,185,8,10,107,2,2,6,0,0,0,0,29,1,2,18,571,
1514,00.32.89,285,3,219,0.760416667,0.350694444,216,3,0,20,51,1,9,17,0,1,2,0,2,0,0,5,1,0,6,101,
3047,00.83.40,752,35,598,0.759847522,0.485387548,581,17,2,26,73,5,6,41,4,1,3,2,1,1,1,26,0,0,7,382,
2530,00.62.26,520,12,404,0.759398496,0.466165414,390,14,2,16,43,0,6,44,0,0,1,1,0,0,12,13,0,2,2,248,
657,00.11.14,2012,7,1532,0.758791481,0.526002972,1502,30,2,35,157,6,34,100,16,1,11,1,3,1,0,47,1,2,23,1062,
2897,00.80.24,514,3,392,0.758220503,0.53384913,376,16,1,6,45,2,5,20,0,0,1,0,0,0,1,16,0,1,2,276,
652,00.11.09,501,3,382,0.757936508,0.400793651,380,2,1,32,39,2,10,50,6,0,4,0,0,0,0,21,1,2,10,202,
724,00.12.41,437,5,335,0.757918552,0.518099548,331,4,0,18,32,0,10,21,3,0,1,0,1,0,0,13,0,1,2,229,
1675,00.39.14,127,1,97,0.7578125,0.5,97,0,0,5,14,0,0,10,0,0,0,0,0,0,0,3,0,1,0,64,
1966,00.48.22,121,7,97,0.7578125,0.53125,96,1,0,4,8,0,3,10,0,0,0,0,0,0,0,3,0,0,0,68,DIRTY
2009,00.49.28,796,5,607,0.757802747,0.451935081,586,21,1,39,56,2,21,46,2,1,7,1,3,1,0,33,0,0,11,362,
1795,00.43.14,89,10,75,0.757575758,0.606060606,75,0,0,4,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,60,
702,00.12.19,764,5,582,0.756827048,0.427828349,575,7,1,45,71,3,9,73,6,0,5,0,2,1,0,22,0,1,7,329,
1199,00.24.34,23,14,28,0.756756757,0.621621622,28,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,
1702,00.40.18,248,5,191,0.754940711,0.711462451,190,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,
97,00.02.05,1682,16,1280,0.753828033,0.317432273,1269,11,1,165,71,2,20,230,4,1,2,1,3,2,0,156,0,3,69,539,
2886,00.80.13,702,3,531,0.753191489,0.543262411,508,23,1,11,55,2,4,24,2,0,1,1,0,0,0,23,0,1,0,383,
1975,00.48.31,645,2,487,0.752704791,0.500772798,481,6,0,19,55,1,14,31,1,0,4,1,3,0,1,21,1,1,4,324,
1331,00.27.37,473,4,359,0.752620545,0.421383648,355,4,0,38,20,1,13,48,2,1,2,1,1,1,0,15,0,0,11,201,
149,00.02.57,1658,15,1259,0.752540347,0.277943814,1255,4,0,211,102,4,29,176,9,0,9,1,4,0,2,165,0,3,75,465,
727,00.12.44,383,13,298,0.752525253,0.484848485,294,4,1,16,18,2,8,20,1,0,3,0,1,1,0,17,0,1,13,192,
1181,00.24.16,494,7,377,0.75249501,0.520958084,374,3,0,1,85,0,3,11,1,0,0,0,1,0,0,7,0,0,4,261,
2284,00.57.18,494,10,379,0.751984127,0.382936508,374,5,1,40,66,3,15,23,1,0,3,0,2,0,0,24,0,1,2,193,
1852,00.45.12,192,1,145,0.751295337,0.424870466,144,1,0,40,4,0,1,9,1,0,0,0,0,0,0,6,0,0,1,82,
2988,00.82.29,260,5,199,0.750943396,0.569811321,197,2,0,10,16,1,1,12,0,0,0,0,0,0,0,5,0,0,1,151,
2201,00.55.11,312,9,241,0.750778816,0.523364486,233,8,1,25,15,1,3,8,2,1,0,0,0,0,0,8,0,0,1,168,
2528,00.62.24,517,4,391,0.750479846,0.535508637,385,6,2,22,27,2,7,20,2,0,1,1,0,0,2,15,0,1,4,279,
1206,00.24.41,56,12,51,0.75,0.573529412,51,0,0,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,39,
2318,00.58.21,189,3,144,0.75,0.578125,144,0,0,6,12,2,5,3,1,0,2,0,0,0,0,0,0,0,2,111,
2525,00.62.21,320,4,243,0.75,0.549382716,242,1,0,10,23,1,1,11,0,0,0,0,0,0,3,14,1,0,0,178,
2971,00.82.12,200,0,150,0.75,0.535,146,4,0,0,23,0,3,7,0,0,0,0,0,0,0,6,0,0,0,107,
3044,00.83.37,339,5,258,0.75,0.50872093,257,1,0,11,28,1,0,18,0,0,2,0,0,1,0,19,0,0,2,175,
151,00.02.59,1385,14,1049,0.749821301,0.273766976,1031,18,0,161,71,4,33,163,6,2,5,0,2,4,1,118,0,8,70,383,
2627,00.65.34,980,3,736,0.748728383,0.499491353,717,19,0,79,65,8,9,17,3,0,1,0,0,1,0,31,1,1,10,491,
104,00.02.12,1390,14,1051,0.748575499,0.301994302,1040,11,2,155,40,2,13,186,7,0,3,1,1,2,4,150,2,2,46,424,
1875,00.45.35,132,7,104,0.748201439,0.424460432,102,2,0,15,7,1,0,12,0,0,2,0,1,0,0,5,0,0,0,59,
2969,00.82.10,320,1,240,0.747663551,0.464174455,236,4,0,12,41,2,1,7,0,0,0,0,0,0,2,16,0,0,6,149,
1949,00.48.05,300,5,228,0.747540984,0.540983607,225,3,0,10,14,0,1,15,0,0,1,0,0,0,0,18,0,0,1,165,
3007,00.82.48,92,7,74,0.747474747,0.464646465,73,1,0,2,10,0,0,10,0,0,0,0,0,0,0,5,0,0,0,46,
1964,00.48.20,346,2,260,0.747126437,0.548850575,255,5,1,11,20,1,0,18,1,0,0,0,0,1,0,9,0,0,2,191,
1393,00.29.10,231,14,183,0.746938776,0.52244898,180,3,0,7,6,0,1,17,0,0,1,0,1,0,0,9,0,0,10,128,
3006,00.82.47,213,4,162,0.746543779,0.451612903,157,5,0,6,37,1,1,8,0,0,0,0,0,1,0,4,0,0,1,98,
1148,00.23.35,348,11,268,0.746518106,0.571030641,262,6,0,7,22,1,2,13,0,0,1,0,0,0,0,6,0,0,5,205,
1664,00.39.03,424,2,318,0.746478873,0.497652582,312,6,0,22,36,0,8,22,0,1,1,1,0,0,0,6,0,0,3,212,
1954,00.48.10,706,0,527,0.746458924,0.443342776,520,7,0,12,117,0,10,41,2,0,1,0,1,0,0,19,2,0,2,313,
216,00.03.54,1342,14,1012,0.746312684,0.312684366,1004,8,1,141,63,3,28,140,10,0,3,4,1,1,0,121,0,1,63,424,
2977,00.82.18,182,3,138,0.745945946,0.535135135,136,2,0,1,31,0,0,2,0,0,0,0,0,0,0,2,1,0,0,99,
1977,00.48.33,705,3,528,0.745762712,0.391242938,511,17,1,28,45,1,7,37,3,0,0,0,0,0,1,103,0,2,6,277,
2294,00.57.28,45,14,44,0.745762712,0.338983051,44,0,0,4,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,20,
2514,00.62.10,328,6,249,0.745508982,0.467065868,241,8,2,28,13,6,3,23,0,0,0,0,0,0,0,5,1,1,3,156,
2898,00.80.25,494,5,372,0.745490982,0.509018036,355,17,2,9,30,0,0,19,1,0,1,1,2,0,0,31,0,1,4,254,
1154,00.23.41,906,9,682,0.745355191,0.613114754,674,8,4,13,26,2,12,25,1,0,1,0,2,0,0,20,0,0,7,561,
2928,00.81.26,206,2,155,0.745192308,0.451923077,155,0,0,4,36,0,0,19,0,0,0,0,0,0,0,2,0,0,0,94,
215,00.03.53,1500,18,1131,0.745059289,0.314888011,1119,12,1,143,74,2,30,178,13,1,5,0,3,3,2,117,0,2,67,478,DIRTY
1869,00.45.29,539,6,406,0.744954128,0.440366972,395,11,0,37,39,4,5,31,2,0,4,0,3,0,0,21,0,3,6,240,
112,00.02.20,1634,14,1227,0.744538835,0.277912621,1219,8,0,199,73,7,25,211,6,0,5,5,3,0,4,143,0,1,79,458,
1722,00.40.38,393,2,294,0.744303797,0.496202532,293,1,0,13,27,1,4,22,1,0,1,0,1,0,0,25,1,1,0,196,
1829,00.44.25,165,7,128,0.744186047,0.523255814,127,1,1,8,9,0,0,12,1,0,0,0,1,0,0,4,0,0,1,90,
2039,00.50.28,661,7,497,0.744011976,0.658682635,494,3,1,8,7,0,2,14,2,0,0,0,0,0,0,15,1,0,4,440,
212,00.03.50,1478,17,1111,0.743143813,0.288294314,1096,15,1,168,70,0,27,162,7,0,2,0,2,2,3,145,0,2,74,431,
1657,00.38.12,1355,6,1011,0.74283615,0.426891991,998,13,1,71,184,4,11,73,5,1,5,0,3,0,0,43,0,0,16,581,
1828,00.44.24,327,3,245,0.742424242,0.463636364,240,5,0,31,14,2,7,13,1,0,0,0,0,0,0,10,0,1,8,153,
694,00.12.11,848,6,634,0.742388759,0.43793911,626,8,0,59,70,2,10,50,5,0,6,3,1,2,1,28,0,1,14,374,
2263,00.56.46,243,9,187,0.742063492,0.507936508,186,1,0,19,21,2,0,8,0,0,1,0,0,0,0,6,0,0,1,128,
1950,00.48.06,431,7,325,0.742009132,0.5,323,2,0,21,31,1,3,21,4,0,1,1,0,0,0,16,0,0,5,219,
1295,00.27.01,1419,21,1068,0.741666667,0.3875,1053,15,3,112,81,3,27,104,22,2,3,3,1,1,1,98,0,2,32,558,
2646,00.66.18,572,8,430,0.74137931,0.396551724,426,4,2,120,29,7,1,15,3,0,0,0,0,0,0,13,0,0,6,230,
2892,00.80.19,469,18,361,0.741273101,0.443531828,339,22,2,10,61,1,4,24,0,0,1,0,2,0,0,16,0,0,2,216,
1669,00.39.08,479,0,355,0.741127349,0.496868476,351,4,1,18,36,1,5,27,0,0,0,0,2,1,0,18,1,0,3,238,
1182,00.24.17,670,6,501,0.74112426,0.465976331,493,8,1,13,93,3,3,39,3,0,2,1,0,0,0,17,0,2,1,315,
746,00.13.19,1417,4,1053,0.741027445,0.432793807,1032,21,4,76,99,10,41,82,13,1,5,2,4,0,0,55,2,3,20,615,
2900,00.80.27,404,5,303,0.740831296,0.596577017,297,6,0,6,24,0,3,9,1,0,0,1,0,0,0,7,0,0,2,244,
2137,00.53.05,557,6,417,0.740674956,0.577264654,410,7,1,24,20,0,6,19,0,0,1,0,0,0,0,10,0,0,4,325,
1684,00.39.23,1351,68,1051,0.740662438,0.510923185,1039,12,2,61,63,2,18,86,3,0,5,2,1,1,1,56,2,0,11,725,
189,00.03.27,1055,17,793,0.739738806,0.281716418,787,6,1,157,38,1,22,114,5,0,2,0,0,0,0,105,0,0,40,302,
1512,00.32.87,209,5,158,0.738317757,0.453271028,156,2,0,7,23,0,0,22,1,0,0,1,0,0,0,4,0,0,1,97,
2325,00.58.28,224,9,172,0.738197425,0.493562232,171,1,0,16,17,1,8,5,1,0,0,0,0,0,0,7,0,0,1,115,
1673,00.39.12,292,2,217,0.738095238,0.581632653,216,1,0,5,18,0,0,9,2,0,2,0,0,0,0,7,0,2,0,171,
2015,00.50.04,1024,6,760,0.737864078,0.570873786,756,4,2,18,12,2,14,50,4,0,4,0,1,0,0,26,0,2,33,588,
2285,00.57.19,112,10,90,0.737704918,0.426229508,89,1,0,3,24,0,1,7,0,0,2,0,0,0,0,0,0,0,0,52,
2608,00.65.15,532,9,399,0.737523105,0.641404806,398,1,1,16,22,0,2,3,0,0,0,0,0,1,0,5,0,0,1,347,
721,00.12.38,734,11,549,0.736912752,0.422818792,536,13,1,55,41,1,13,51,4,0,3,0,1,0,0,34,0,0,17,315,
1294,00.26.40,65,11,56,0.736842105,0.605263158,55,1,0,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,46,
1839,00.44.35,88,7,70,0.736842105,0.505263158,70,0,0,6,1,0,2,10,0,0,0,0,0,0,0,2,0,0,1,48,
